time,voltage [V],current [mA],power mW
22:47:20.133187,4.940,5.39634,26.8293
22:47:20.197547,4.940,5.39634,26.8293
22:47:20.270473,4.940,5.48780,28.0488
22:47:20.330232,4.940,5.39634,26.8293
22:47:20.400388,4.944,5.48780,26.8293
22:47:20.468409,4.932,5.48780,26.8293
22:47:20.533192,4.936,5.48780,28.0488
22:47:20.603283,4.932,5.48780,28.0488
22:47:20.675866,4.932,5.48780,28.0488
22:47:20.740381,4.940,5.48780,26.8293
22:47:20.813507,4.940,5.60976,26.8293
22:47:20.884898,4.944,5.48780,26.8293
22:47:20.950197,4.944,5.39634,26.8293
22:47:21.018556,4.940,5.60976,28.0488
22:47:21.089529,4.940,5.60976,26.8293
22:47:21.163299,4.940,5.60976,26.8293
22:47:21.232181,4.940,5.39634,26.8293
22:47:21.299888,4.936,5.60976,26.8293
22:47:21.373350,4.928,5.39634,28.0488
22:47:21.441652,4.932,5.48780,26.8293
22:47:21.512427,4.932,5.39634,26.8293
22:47:21.580744,4.940,5.60976,26.8293
22:47:21.650184,4.932,5.48780,28.0488
22:47:21.722437,4.932,5.60976,26.8293
22:47:21.794708,4.928,5.60976,26.8293
22:47:21.862486,4.932,5.39634,28.0488
22:47:21.930268,4.940,5.48780,26.8293
22:47:22.003417,4.940,5.60976,28.0488
22:47:22.070170,4.932,5.30488,26.8293
22:47:22.138954,4.936,5.48780,28.0488
22:47:22.210186,4.932,5.48780,26.8293
22:47:22.283233,4.936,5.48780,26.8293
22:47:22.350186,4.940,5.39634,28.0488
22:47:22.419053,4.940,5.39634,26.8293
22:47:22.490201,4.940,5.48780,26.8293
22:47:22.553017,4.944,5.39634,26.8293
22:47:22.622880,4.940,5.39634,28.0488
22:47:22.690247,4.940,5.60976,26.8293
22:47:22.763380,4.940,5.48780,28.0488
22:47:22.831068,4.940,5.48780,26.8293
22:47:22.900332,4.944,5.60976,26.8293
22:47:22.973312,4.940,5.48780,26.8293
22:47:23.043427,4.940,5.48780,28.0488
22:47:23.111840,4.940,5.48780,28.0488
22:47:23.180344,4.944,5.30488,26.2195
22:47:23.252741,4.944,5.48780,26.8293
22:47:23.324784,4.940,5.60976,26.8293
22:47:23.392555,4.944,5.60976,26.8293
22:47:23.463284,4.940,5.60976,26.8293
22:47:23.575600,4.940,5.48780,26.8293
22:47:23.640222,4.944,5.60976,28.0488
22:47:23.707875,4.932,5.48780,28.0488
22:47:23.773448,4.928,5.70122,26.8293
22:47:23.843207,4.932,5.60976,26.8293
22:47:23.910206,4.932,5.39634,26.8293
22:47:23.981804,4.936,5.48780,28.0488
22:47:24.049709,4.944,5.48780,26.8293
22:47:24.120271,4.940,5.70122,28.0488
22:47:24.190188,4.936,5.39634,26.8293
22:47:24.263218,4.932,5.48780,26.8293
22:47:24.331148,4.932,5.48780,26.8293
22:47:24.400391,4.928,5.39634,26.8293
22:47:24.472762,4.932,5.48780,26.8293
22:47:24.540426,4.936,5.48780,28.0488
22:47:24.608291,4.932,5.60976,26.8293
22:47:24.670217,4.928,5.39634,26.8293
22:47:24.738371,4.932,5.60976,26.8293
22:47:24.802566,4.928,5.48780,26.8293
22:47:24.873799,4.936,5.48780,26.8293
22:47:24.942189,4.940,5.48780,26.8293
22:47:25.010192,4.944,5.60976,26.8293
22:47:25.080190,4.940,5.39634,26.8293
22:47:25.154404,4.944,5.48780,26.8293
22:47:25.222707,4.940,5.48780,28.0488
22:47:25.291727,4.940,5.39634,26.8293
22:47:25.363254,4.940,5.39634,26.8293
22:47:25.430240,4.940,5.48780,28.0488
22:47:25.499265,4.932,5.48780,26.8293
22:47:25.573323,4.924,5.39634,26.8293
